# outline of illuminated area on igrins slitcam
# generated from scam_geometry.ipynb
# ra/dec coordinates are in arcsec relative to center of slit
# x-pixel 	 y-pixel 	 ra 	 dec 
1027.0	168.0	-65.8340808449	-69.2026024571
1027.0	169.0	-65.7572285945	-69.1210022778
1027.0	170.0	-65.6803763439	-69.0394020984
1028.0	170.0	-65.769367197	-68.9592145105
1028.0	171.0	-65.6925149464	-68.8776143312
1028.0	172.0	-65.615662696	-68.7960141518
1028.0	173.0	-65.5388104453	-68.7144139725
1028.0	174.0	-65.4619581949	-68.6328137931
1028.0	175.0	-65.3851059443	-68.5512136138
1029.0	175.0	-65.4740967974	-68.4710260259
1030.0	175.0	-65.5630876503	-68.390838438
1030.0	174.0	-65.6399399007	-68.4724386173
1031.0	174.0	-65.7289307536	-68.3922510294
1031.0	173.0	-65.8057830042	-68.4738512088
1031.0	172.0	-65.8826352547	-68.5554513881
1032.0	172.0	-65.9716261076	-68.4752638002
1032.0	171.0	-66.0484783582	-68.5568639796
1032.0	170.0	-66.1253306086	-68.6384641589
1033.0	170.0	-66.2143214615	-68.558276571
1033.0	169.0	-66.2911737121	-68.6398767504
1034.0	169.0	-66.380164565	-68.5596891625
1035.0	169.0	-66.4691554179	-68.4795015746
1036.0	169.0	-66.5581462709	-68.3993139867
1037.0	169.0	-66.6471371238	-68.3191263988
1037.0	170.0	-66.5702848733	-68.2375262195
1037.0	171.0	-66.4934326227	-68.1559260401
1038.0	171.0	-66.5824234758	-68.0757384522
1038.0	172.0	-66.5055712252	-67.9941382729
1039.0	172.0	-66.5945620781	-67.913950685
1040.0	172.0	-66.683552931	-67.8337630971
1040.0	171.0	-66.7604051816	-67.9153632764
1040.0	170.0	-66.837257432	-67.9969634558
1040.0	169.0	-66.9141096827	-68.0785636351
1041.0	169.0	-67.0031005356	-67.9983760472
1042.0	169.0	-67.0920913885	-67.9181884593
1043.0	169.0	-67.1810822414	-67.8380008714
1044.0	169.0	-67.2700730943	-67.7578132835
1044.0	170.0	-67.1932208439	-67.6762131042
1044.0	171.0	-67.1163685932	-67.5946129248
1045.0	171.0	-67.2053594463	-67.5144253369
1046.0	171.0	-67.2943502992	-67.434237749
1046.0	170.0	-67.3712025497	-67.5158379284
1047.0	170.0	-67.4601934026	-67.4356503405
1048.0	170.0	-67.5491842555	-67.3554627526
1049.0	170.0	-67.6381751086	-67.2752751647
1050.0	170.0	-67.7271659615	-67.1950875768
1051.0	170.0	-67.8161568144	-67.1148999889
1051.0	171.0	-67.739304564	-67.0332998095
1052.0	171.0	-67.8282954169	-66.9531122216
1052.0	172.0	-67.7514431662	-66.8715120423
1052.0	173.0	-67.6745909158	-66.7899118629
1052.0	174.0	-67.5977386652	-66.7083116836
1052.0	175.0	-67.5208864148	-66.6267115042
1053.0	175.0	-67.6098772677	-66.5465239163
1054.0	175.0	-67.6988681206	-66.4663363284
1054.0	176.0	-67.6220158701	-66.3847361491
1054.0	177.0	-67.5451636195	-66.3031359697
1055.0	177.0	-67.6341544726	-66.2229483818
1056.0	177.0	-67.7231453255	-66.1427607939
1056.0	176.0	-67.799997576	-66.2243609733
1056.0	175.0	-67.8768498266	-66.3059611526
1056.0	174.0	-67.953702077	-66.387561332
1057.0	174.0	-68.0426929299	-66.3073737441
1058.0	174.0	-68.1316837828	-66.2271861562
1059.0	174.0	-68.2206746357	-66.1469985683
1060.0	174.0	-68.3096654888	-66.0668109804
1061.0	174.0	-68.3986563417	-65.9866233925
1062.0	174.0	-68.4876471946	-65.9064358046
1062.0	175.0	-68.410794944	-65.8248356252
1063.0	175.0	-68.4997857971	-65.7446480374
1064.0	175.0	-68.58877665	-65.6644604495
1065.0	175.0	-68.6777675029	-65.5842728616
1066.0	175.0	-68.7667583558	-65.5040852737
1067.0	175.0	-68.8557492087	-65.4238976858
1068.0	175.0	-68.9447400616	-65.3437100979
1069.0	175.0	-69.0337309147	-65.26352251
1070.0	175.0	-69.1227217676	-65.1833349221
1070.0	176.0	-69.045869517	-65.1017347427
1071.0	176.0	-69.1348603699	-65.0215471548
1071.0	177.0	-69.0580081195	-64.9399469755
1071.0	178.0	-68.9811558691	-64.8583467961
1071.0	179.0	-68.9043036184	-64.7767466168
1071.0	180.0	-68.827451368	-64.6951464374
1070.0	180.0	-68.7384605151	-64.7753340253
1070.0	181.0	-68.6616082645	-64.693733846
1070.0	182.0	-68.5847560141	-64.6121336666
1070.0	183.0	-68.5079037634	-64.5305334872
1070.0	184.0	-68.431051513	-64.4489333079
1071.0	184.0	-68.5200423659	-64.36874572
1072.0	184.0	-68.6090332188	-64.2885581321
1073.0	184.0	-68.6980240717	-64.2083705442
1074.0	184.0	-68.7870149246	-64.1281829563
1075.0	184.0	-68.8760057777	-64.0479953684
1076.0	184.0	-68.9649966306	-63.9678077805
1077.0	184.0	-69.0539874835	-63.8876201926
1077.0	185.0	-68.9771352329	-63.8060200133
1077.0	186.0	-68.9002829825	-63.7244198339
1077.0	187.0	-68.8234307321	-63.6428196545
1077.0	188.0	-68.7465784814	-63.5612194752
1078.0	188.0	-68.8355693343	-63.4810318873
1079.0	188.0	-68.9245601874	-63.4008442994
1080.0	188.0	-69.0135510403	-63.3206567115
1080.0	187.0	-69.0904032908	-63.4022568909
1081.0	187.0	-69.1793941437	-63.322069303
1082.0	187.0	-69.2683849966	-63.2418817151
1082.0	186.0	-69.3452372472	-63.3234818944
1082.0	185.0	-69.4220894976	-63.4050820738
1082.0	184.0	-69.4989417482	-63.4866822531
1082.0	183.0	-69.5757939987	-63.5682824325
1082.0	182.0	-69.6526462491	-63.6498826118
1082.0	181.0	-69.7294984997	-63.7314827912
1082.0	180.0	-69.8063507501	-63.8130829705
1082.0	179.0	-69.8832030008	-63.8946831499
1083.0	179.0	-69.9721938537	-63.814495562
1084.0	179.0	-70.0611847066	-63.7343079741
1085.0	179.0	-70.1501755595	-63.6541203862
1086.0	179.0	-70.2391664124	-63.5739327983
1087.0	179.0	-70.3281572655	-63.4937452104
1088.0	179.0	-70.4171481184	-63.4135576225
1089.0	179.0	-70.5061389713	-63.3333700346
1089.0	180.0	-70.4292867207	-63.2517698552
1090.0	180.0	-70.5182775738	-63.1715822674
1091.0	180.0	-70.6072684267	-63.0913946795
1092.0	180.0	-70.6962592796	-63.0112070916
1093.0	180.0	-70.7852501325	-62.9310195037
1094.0	180.0	-70.8742409854	-62.8508319158
1095.0	180.0	-70.9632318383	-62.7706443279
1095.0	179.0	-71.0400840889	-62.8522445072
1096.0	179.0	-71.1290749418	-62.7720569193
1097.0	179.0	-71.2180657947	-62.6918693314
1098.0	179.0	-71.3070566476	-62.6116817435
1099.0	179.0	-71.3960475005	-62.5314941556
1099.0	180.0	-71.3191952501	-62.4498939763
1100.0	180.0	-71.408186103	-62.3697063884
1101.0	180.0	-71.4971769559	-62.2895188005
1101.0	181.0	-71.4203247055	-62.2079186211
1101.0	182.0	-71.3434724549	-62.1263184418
1102.0	182.0	-71.4324633078	-62.0461308539
1103.0	182.0	-71.5214541609	-61.965943266
1103.0	181.0	-71.5983064113	-62.0475434453
1104.0	181.0	-71.6872972642	-61.9673558574
1105.0	181.0	-71.7762881171	-61.8871682695
1106.0	181.0	-71.86527897	-61.8069806816
1107.0	181.0	-71.9542698231	-61.7267930937
1108.0	181.0	-72.043260676	-61.6466055058
1108.0	182.0	-71.9664084254	-61.5650053265
1108.0	183.0	-71.889556175	-61.4834051471
1109.0	183.0	-71.9785470279	-61.4032175592
1110.0	183.0	-72.0675378808	-61.3230299713
1110.0	184.0	-71.9906856303	-61.241429792
1111.0	184.0	-72.0796764832	-61.1612422041
1111.0	185.0	-72.0028242328	-61.0796420247
1112.0	185.0	-72.0918150857	-60.9994544368
1113.0	185.0	-72.1808059386	-60.9192668489
1114.0	185.0	-72.2697967915	-60.839079261
1115.0	185.0	-72.3587876444	-60.7588916731
1115.0	186.0	-72.281935394	-60.6772914938
1116.0	186.0	-72.3709262469	-60.5971039059
1117.0	186.0	-72.4599170998	-60.516916318
1118.0	186.0	-72.5489079527	-60.4367287301
1119.0	186.0	-72.6378988056	-60.3565411422
1119.0	185.0	-72.7147510563	-60.4381413216
1120.0	185.0	-72.8037419092	-60.3579537337
1121.0	185.0	-72.8927327621	-60.2777661458
1121.0	184.0	-72.9695850125	-60.3593663251
1122.0	184.0	-73.0585758656	-60.2791787372
1123.0	184.0	-73.1475667185	-60.1989911493
1124.0	184.0	-73.2365575714	-60.1188035614
1125.0	184.0	-73.3255484243	-60.0386159735
1125.0	185.0	-73.2486961739	-59.9570157942
1126.0	185.0	-73.3376870268	-59.8768282063
1126.0	186.0	-73.2608347762	-59.7952280269
1127.0	186.0	-73.3498256293	-59.715040439
1128.0	186.0	-73.4388164822	-59.6348528511
1128.0	187.0	-73.3619642315	-59.5532526718
1129.0	187.0	-73.4509550844	-59.4730650839
1129.0	188.0	-73.374102834	-59.3914649045
1130.0	188.0	-73.4630936869	-59.3112773166
1131.0	188.0	-73.5520845398	-59.2310897287
1132.0	188.0	-73.6410753927	-59.1509021408
1133.0	188.0	-73.7300662458	-59.0707145529
1134.0	188.0	-73.8190570987	-58.990526965
1135.0	188.0	-73.9080479516	-58.9103393771
1136.0	188.0	-73.9970388045	-58.8301517892
1137.0	188.0	-74.0860296574	-58.7499642013
1138.0	188.0	-74.1750205103	-58.6697766135
1139.0	188.0	-74.2640113633	-58.5895890256
1140.0	188.0	-74.3530022163	-58.5094014377
1140.0	189.0	-74.2761499657	-58.4278012583
1141.0	189.0	-74.3651408186	-58.3476136704
1142.0	189.0	-74.4541316715	-58.2674260825
1142.0	190.0	-74.3772794211	-58.1858259031
1143.0	190.0	-74.466270274	-58.1056383153
1144.0	190.0	-74.5552611269	-58.0254507274
1144.0	191.0	-74.4784088765	-57.943850548
1145.0	191.0	-74.5673997294	-57.8636629601
1146.0	191.0	-74.6563905823	-57.7834753722
1146.0	190.0	-74.7332428329	-57.8650755516
1147.0	190.0	-74.8222336858	-57.7848879637
1148.0	190.0	-74.9112245387	-57.7047003758
1149.0	190.0	-75.0002153916	-57.6245127879
1150.0	190.0	-75.0892062445	-57.5443252
1151.0	190.0	-75.1781970974	-57.4641376121
1152.0	190.0	-75.2671879505	-57.3839500242
1153.0	190.0	-75.3561788034	-57.3037624363
1153.0	191.0	-75.2793265528	-57.2221622569
1153.0	192.0	-75.2024743024	-57.1405620776
1153.0	193.0	-75.1256220518	-57.0589618982
1154.0	193.0	-75.2146129049	-56.9787743103
1155.0	193.0	-75.3036037578	-56.8985867224
1156.0	193.0	-75.3925946107	-56.8183991345
1157.0	193.0	-75.4815854636	-56.7382115466
1158.0	193.0	-75.5705763165	-56.6580239587
1158.0	194.0	-75.4937240661	-56.5764237794
1158.0	195.0	-75.4168718154	-56.4948236
1159.0	195.0	-75.5058626684	-56.4146360121
1160.0	195.0	-75.5948535215	-56.3344484242
1161.0	195.0	-75.6838443744	-56.2542608363
1161.0	194.0	-75.7606966248	-56.3358610157
1162.0	194.0	-75.8496874777	-56.2556734278
1163.0	194.0	-75.9386783308	-56.1754858399
1164.0	194.0	-76.0276691837	-56.095298252
1164.0	193.0	-76.1045214341	-56.1768984313
1165.0	193.0	-76.193512287	-56.0967108435
1166.0	193.0	-76.2825031399	-56.0165232556
1167.0	193.0	-76.371493993	-55.9363356677
1168.0	193.0	-76.4604848459	-55.8561480798
1169.0	193.0	-76.5494756988	-55.7759604919
1169.0	194.0	-76.4726234482	-55.6943603125
1170.0	194.0	-76.5616143013	-55.6141727246
1171.0	194.0	-76.6506051542	-55.5339851367
1172.0	194.0	-76.7395960071	-55.4537975488
1172.0	195.0	-76.6627437565	-55.3721973695
1172.0	196.0	-76.5858915061	-55.2905971901
1173.0	196.0	-76.674882359	-55.2104096022
1174.0	196.0	-76.7638732119	-55.1302220143
1175.0	196.0	-76.8528640648	-55.0500344264
1176.0	196.0	-76.9418549179	-54.9698468385
1177.0	196.0	-77.0308457708	-54.8896592506
1177.0	197.0	-76.9539935202	-54.8080590713
1178.0	197.0	-77.0429843731	-54.7278714834
1179.0	197.0	-77.1319752262	-54.6476838955
1179.0	198.0	-77.0551229755	-54.5660837161
1179.0	199.0	-76.9782707251	-54.4844835368
1179.0	200.0	-76.9014184745	-54.4028833574
1180.0	200.0	-76.9904093276	-54.3226957695
1180.0	201.0	-76.913557077	-54.2410955902
1181.0	201.0	-77.0025479299	-54.1609080023
1182.0	201.0	-77.0915387828	-54.0807204144
1183.0	201.0	-77.1805296359	-54.0005328265
1183.0	200.0	-77.2573818863	-54.0821330058
1184.0	200.0	-77.3463727392	-54.0019454179
1185.0	200.0	-77.4353635921	-53.92175783
1186.0	200.0	-77.524354445	-53.8415702421
1187.0	200.0	-77.6133452981	-53.7613826542
1187.0	199.0	-77.6901975485	-53.8429828336
1187.0	198.0	-77.767049799	-53.9245830129
1187.0	197.0	-77.8439020496	-54.0061831923
1188.0	197.0	-77.9328929025	-53.9259956044
1189.0	197.0	-78.0218837554	-53.8458080165
1190.0	197.0	-78.1108746083	-53.7656204286
1191.0	197.0	-78.1998654612	-53.6854328407
1191.0	198.0	-78.1230132108	-53.6038326613
1191.0	199.0	-78.0461609604	-53.522232482
1191.0	200.0	-77.9693087097	-53.4406323026
1191.0	201.0	-77.8924564593	-53.3590321233
1192.0	201.0	-77.9814473122	-53.2788445354
1193.0	201.0	-78.0704381651	-53.1986569475
1193.0	202.0	-77.9935859147	-53.1170567681
1194.0	202.0	-78.0825767676	-53.0368691802
1194.0	203.0	-78.005724517	-52.9552690009
1194.0	204.0	-77.9288722666	-52.8736688215
1194.0	205.0	-77.8520200159	-52.7920686422
1195.0	205.0	-77.941010869	-52.7118810543
1196.0	205.0	-78.0300017219	-52.6316934664
1197.0	205.0	-78.1189925748	-52.5515058785
1198.0	205.0	-78.2079834277	-52.4713182906
1199.0	205.0	-78.2969742806	-52.3911307027
1200.0	205.0	-78.3859651336	-52.3109431148
1201.0	205.0	-78.4749559866	-52.2307555269
1202.0	205.0	-78.5639468396	-52.150567939
1202.0	206.0	-78.4870945889	-52.0689677597
1203.0	206.0	-78.5760854418	-51.9887801718
1204.0	206.0	-78.6650762949	-51.9085925839
1205.0	206.0	-78.7540671478	-51.828404996
1206.0	206.0	-78.8430580007	-51.7482174081
1207.0	206.0	-78.9320488537	-51.6680298202
1208.0	206.0	-79.0210397066	-51.5878422323
1209.0	206.0	-79.1100305595	-51.5076546444
1209.0	207.0	-79.033178309	-51.426054465
1210.0	207.0	-79.1221691619	-51.3458668771
1211.0	207.0	-79.2111600148	-51.2656792892
1212.0	207.0	-79.3001508677	-51.1854917013
1213.0	207.0	-79.3891417207	-51.1053041134
1214.0	207.0	-79.4781325737	-51.0251165255
1214.0	208.0	-79.4012803231	-50.9435163462
1215.0	208.0	-79.490271176	-50.8633287583
1216.0	208.0	-79.5792620289	-50.7831411704
1217.0	208.0	-79.668252882	-50.7029535825
1218.0	208.0	-79.7572437349	-50.6227659946
1219.0	208.0	-79.8462345878	-50.5425784067
1219.0	209.0	-79.7693823374	-50.4609782273
1220.0	209.0	-79.8583731903	-50.3807906394
1221.0	209.0	-79.9473640432	-50.3006030515
1222.0	209.0	-80.0363548961	-50.2204154636
1223.0	209.0	-80.125345749	-50.1402278757
1224.0	209.0	-80.2143366019	-50.0600402878
1224.0	210.0	-80.1374843515	-49.9784401085
1224.0	211.0	-80.0606321009	-49.8968399291
1225.0	211.0	-80.149622954	-49.8166523412
1225.0	212.0	-80.0727707034	-49.7350521619
1226.0	212.0	-80.1617615563	-49.654864574
1227.0	212.0	-80.2507524092	-49.5746769861
1228.0	212.0	-80.3397432623	-49.4944893982
1229.0	212.0	-80.4287341152	-49.4143018103
1230.0	212.0	-80.5177249681	-49.3341142224
1230.0	213.0	-80.4408727175	-49.252514043
1230.0	214.0	-80.364020467	-49.1709138637
1231.0	214.0	-80.4530113199	-49.0907262758
1232.0	214.0	-80.5420021728	-49.0105386879
1232.0	213.0	-80.6188544235	-49.0921388672
1233.0	213.0	-80.7078452764	-49.0119512793
1234.0	213.0	-80.7968361293	-48.9317636915
1235.0	213.0	-80.8858269822	-48.8515761036
1236.0	213.0	-80.9748178351	-48.7713885157
1236.0	214.0	-80.8979655847	-48.6897883363
1236.0	215.0	-80.8211133342	-48.608188157
1236.0	216.0	-80.7442610836	-48.5265879776
1237.0	216.0	-80.8332519365	-48.4464003897
1238.0	216.0	-80.9222427894	-48.3662128018
1239.0	216.0	-81.0112336425	-48.2860252139
1240.0	216.0	-81.1002244954	-48.205837626
1241.0	216.0	-81.1892153483	-48.1256500381
1242.0	216.0	-81.2782062012	-48.0454624502
1243.0	216.0	-81.3671970541	-47.9652748623
1243.0	217.0	-81.2903448037	-47.883674683
1243.0	218.0	-81.2134925531	-47.8020745036
1244.0	218.0	-81.302483406	-47.7218869157
1244.0	219.0	-81.2256311556	-47.6402867364
1245.0	219.0	-81.3146220085	-47.5600991485
1246.0	219.0	-81.4036128614	-47.4799115606
1247.0	219.0	-81.4926037143	-47.3997239727
1247.0	220.0	-81.4157514639	-47.3181237933
1248.0	220.0	-81.5047423168	-47.2379362054
1249.0	220.0	-81.5937331697	-47.1577486175
1250.0	220.0	-81.6827240226	-47.0775610296
1251.0	220.0	-81.7717148757	-46.9973734417
1252.0	220.0	-81.8607057286	-46.9171858538
1252.0	221.0	-81.7838534779	-46.8355856745
1253.0	221.0	-81.872844331	-46.7553980866
1254.0	221.0	-81.9618351839	-46.6752104987
1255.0	221.0	-82.0508260369	-46.5950229108
1256.0	221.0	-82.1398168898	-46.5148353229
1257.0	221.0	-82.2288077427	-46.434647735
1257.0	222.0	-82.1519554922	-46.3530475556
1258.0	222.0	-82.2409463451	-46.2728599677
1259.0	222.0	-82.329937198	-46.1926723798
1260.0	222.0	-82.4189280509	-46.1124847919
1261.0	222.0	-82.5079189039	-46.032297204
1262.0	222.0	-82.5969097568	-45.9521096161
1262.0	223.0	-82.5200575063	-45.8705094368
1263.0	223.0	-82.6090483592	-45.7903218489
1264.0	223.0	-82.6980392121	-45.710134261
1265.0	223.0	-82.787030065	-45.6299466731
1266.0	223.0	-82.8760209181	-45.5497590852
1267.0	223.0	-82.965011771	-45.4695714973
1268.0	223.0	-83.054002624	-45.3893839094
1268.0	224.0	-82.9771503733	-45.3077837301
1268.0	225.0	-82.9002981229	-45.2261835507
1269.0	225.0	-82.9892889758	-45.1459959628
1270.0	225.0	-83.0782798287	-45.0658083749
1270.0	226.0	-83.0014275783	-44.9842081956
1271.0	226.0	-83.0904184312	-44.9040206077
1271.0	227.0	-83.0135661808	-44.8224204283
1271.0	228.0	-82.9367139301	-44.740820249
1271.0	229.0	-82.8598616797	-44.6592200696
1272.0	229.0	-82.9488525326	-44.5790324817
1273.0	229.0	-83.0378433855	-44.4988448938
1273.0	228.0	-83.1146956361	-44.5804450732
1274.0	228.0	-83.203686489	-44.5002574853
1275.0	228.0	-83.292677342	-44.4200698974
1276.0	228.0	-83.3816681949	-44.3398823095
1277.0	228.0	-83.4706590478	-44.2596947216
1278.0	228.0	-83.5596499007	-44.1795071337
1279.0	228.0	-83.6486407536	-44.0993195458
1280.0	228.0	-83.7376316067	-44.0191319579
1281.0	228.0	-83.8266224596	-43.93894437
1281.0	229.0	-83.749770209	-43.8573441906
1281.0	230.0	-83.6729179585	-43.7757440113
1281.0	231.0	-83.5960657079	-43.6941438319
1282.0	231.0	-83.685056561	-43.613956244
1283.0	231.0	-83.7740474139	-43.5337686561
1284.0	231.0	-83.8630382668	-43.4535810682
1285.0	231.0	-83.9520291197	-43.3733934803
1286.0	231.0	-84.0410199726	-43.2932058924
1287.0	231.0	-84.1300108255	-43.2130183045
1287.0	232.0	-84.0531585751	-43.1314181252
1288.0	232.0	-84.142149428	-43.0512305373
1288.0	233.0	-84.0652971776	-42.9696303579
1288.0	234.0	-83.988444927	-42.8880301786
1289.0	234.0	-84.0774357799	-42.8078425907
1290.0	234.0	-84.166426633	-42.7276550028
1291.0	234.0	-84.2554174859	-42.6474674149
1292.0	234.0	-84.3444083388	-42.567279827
1293.0	234.0	-84.4333991917	-42.4870922391
1294.0	234.0	-84.5223900446	-42.4069046512
1295.0	234.0	-84.6113808975	-42.3267170633
1295.0	235.0	-84.5345286471	-42.2451168839
1296.0	235.0	-84.6235195	-42.164929296
1296.0	236.0	-84.5466672495	-42.0833291167
1297.0	236.0	-84.6356581024	-42.0031415288
1298.0	236.0	-84.7246489553	-41.9229539409
1298.0	235.0	-84.8015012058	-42.0045541202
1299.0	235.0	-84.8904920587	-41.9243665323
1300.0	235.0	-84.9794829118	-41.8441789444
1301.0	235.0	-85.0684737647	-41.7639913565
1302.0	235.0	-85.1574646176	-41.6838037687
1303.0	235.0	-85.2464554705	-41.6036161808
1303.0	236.0	-85.1696032201	-41.5220160014
1304.0	236.0	-85.258594073	-41.4418284135
1304.0	237.0	-85.1817418223	-41.3602282342
1304.0	238.0	-85.1048895719	-41.2786280548
1305.0	238.0	-85.1938804248	-41.1984404669
1306.0	238.0	-85.2828712777	-41.118252879
1307.0	238.0	-85.3718621306	-41.0380652911
1307.0	239.0	-85.2950098802	-40.9564651118
1308.0	239.0	-85.3840007331	-40.8762775239
1309.0	239.0	-85.472991586	-40.796089936
1309.0	240.0	-85.3961393356	-40.7144897566
